頭金,支払金額
採用,受容れる
採用,勝ち取る
採用,受容れる
採用,大成
採用,受容れる
採用,勝ち取る
採用,受容れる
波状鉄板,延板
サンストーン,石英
サンストーン,玉瑛
妄想,間違い
妄想,心理状態
有志者,サラリーマン
アドベンチャー,課題
解釈,口述
解釈,演芸
解釈,心的表示
解釈,解説
解釈,解説
解釈,解る
解釈,説明
解釈,口述
解釈,演芸
解釈,心的表示
解釈,解説
解釈,解説
解釈,解る
解釈,説明
著聞,動く
クラゲ,腔腸動物
クラゲ,腔腸動物
岩石圏,レイヤ
軽わざ師,体操選手
食い止める,防ぐ
食い止める,押しとどめる
恍惚状態,心理状態
歳次,ピリオド
立ち廻る,歩く
減じる,降格
減じる,入換える
減じる,割出す
キャンプ指導員,所属長
均らす,割出す
均らす,なる
頸飾り,アンティーク・ジュエリー
創痕,小疵
奇跡劇,芝居
人称代名詞,代名詞
無機化合物,化合物
悪罵,不敬
悪罵,おっしゃる
悪罵,罵る
悪罵,不敬
悪罵,おっしゃる
悪罵,罵る
固め,弓馬
神経痛,苦しみ
失意,心緒
お手伝い,アクティビティー
お手伝い,サラリーマン
お手伝い,差し響き
お手伝い,下男
お手伝い,援護
お手伝い,アクティビティー
お手伝い,サラリーマン
お手伝い,差し響き
お手伝い,下男
お手伝い,援護
帳,窓掛け
触れちらす,公表
塵埃,粒子状物質
哀しむ,泣く
ジャガタラいも,蔦蔓
裏付,見聞
裏付,しるし
裏付,判定
松葉杖,棒
ト書き,指し図
地図帳,参考書
地質現象,自然現象
オブジェクション,通信
台輪,突っぱり
刷り直す,写しとる
ニャーと鳴く,発語
コーチ,労働
コーチ,トレイナー
コーチ,仕込む
コーチ,労働
コーチ,トレイナー
コーチ,仕込む
シビレエイ,エイ
コピー,筆録
コピー,文章
コピー,写し
コピー,写しとる
コピー,生みだす
コピー,写しとる
コピー,筆録
コピー,文章
コピー,写し
コピー,写しとる
コピー,生みだす
コピー,写しとる
引っ攣り,小疵
引っ攣り,症候
張りだす,もうける
大尾,分野
線審,アンパイア
幸運,事象
幸運,巡り合わせ
幸運,変事
幸運,事象
幸運,巡り合わせ
幸運,変事
祈り,申出
祈り,礼拝
御茶,飲み料
御茶,草
御茶,おやつ
断案,意見
仲良く交際する,交流
見なす,考える
見なす,推測
見なす,期する
見なす,期する
見なす,考える
持てはやす,敬う
家族,一門
家族,宗族
家族,社会的単位
さし出し,去ること
と呼ぶ,銘打つ
謹厳さ,真面目
再計算する,割出す
先行き,時
御手掛け,女子
御手掛け,色
嫉む,欲しがる
嫉む,称揚
バイオレメディエーション,バイオテクノロジー
オセロット,山猫
呑込む,摂する
呑込む,上がる
呑込む,押さえ付ける
呑込む,解る
呑込む,解る
呑込む,締め込む
腕神経叢,神経叢
重力場,力の場
惑い,混乱
マグネティックディスク,記憶装置
高,概念
朝旦,ピリオド
諦観,失意
夕方,昼日中
夕方,時剋
押し被せる,触れ合う
押し被せる,秘し隠す
取っておく,見あわせる
取っておく,割り付ける
取っておく,要求
取っておく,有する
取っておく,要求
足止め,制約
攻囲,囲み
補佐人,サラリーマン
補佐人,泰山北斗
馬銜,鞍部
購買者,お客さん
見たてる,考える
見たてる,鑑定
見たてる,鑑定
藩主,殿
透写す,コピー
酒石英,塩
お拾い,移動
お拾い,歩行運動
アレゴリー,物語り
却ける,押す
却ける,鑑定
塗,ラッカーウェア
塗,つけること
塗,覆い
水道,水体
水道,水体
必要経費,費用
必要経費,値打
取引き,話し合い
取引き,集団行動
取引き,貿易
取引き,取引
取引き,議する
取引き,話し合い
取引き,集団行動
取引き,貿易
取引き,取引
取引き,議する
好き,心緒
好き,心緒
好き,心緒
好き,心緒
お断り,行ない
お断り,拒絶
ポスト,集団
ポスト,ボックス
ポスト,職
運輸,移動
運輸,実業
運輸,移転
運輸,移転
運輸,移転
運輸,移動
運輸,実業
運輸,移転
運輸,移転
運輸,移転
御入来,到着
詰め寄せる,会合
ニオイネズミカンガルー,カンガルー
ウィンザータイ,タイ
レクチャー,式辞
レクチャー,教え
レクチャー,言語単位
レクチャー,仕込む
レクチャー,式辞
レクチャー,教え
レクチャー,言語単位
レクチャー,仕込む
ユンカー,プルシャン
円,卵型
円,形姿
円,円貨
埋合わせる,支辨
称揚,可決
称揚,可決
称揚,鑑定
称揚,ご覧になる
称揚,尊重
称揚,可決
称揚,可決
称揚,鑑定
称揚,ご覧になる
称揚,尊重
儚くなる,なる
先入主,依怙贔屓
わらい声,発話
快事,快
延し棒,調理道具
売り込む,まやかす
売り込む,勧誘
売り込む,取引き
突っ走る,動く
ビーチチェア,たたみ椅子
援助金,補助
電動歯ブラシ,歯ブラシ
人夫,労働者
憎まれ口,不敬
楽滑走音,グリッサンド
水文学,地球物理学
心驕り,傲り
思想,意見
湯釜,鍋
現代世界,時世
傲り,心緒
六連発銃,拳銃
尊信,尊重
脊髄神経,神経
印象,考え
印象,圧し
印象,風姿
印象,イメージ
三角定規,正角定木
ポストカード,メッセージカード
不服申し立て,導通抵抗
強情っぱり,意志強さ
強情っぱり,意志強さ
血の巡り,生物現象
隠喩,言葉のあや
壜,槽
リゾート,地区
享受,活きる
享受,役だてる
玉簡,文章
玉簡,記文
ラショナリゼーション,体制
影武者,代役
狙い撃つ,撃ち殺す
手投弾,手榴弾
共産主義,社会主義経済
共産主義,イデオロギー
金銭的な面倒を見る,請合う
慣性モーメント,慣性
慣性モーメント,咄嗟
古動物学,古生物学
古動物学,動物学
簡便,適正
簡便,適正
使嗾,誘いだす
使嗾,誘いだす
実業,貿易
丸木舟,カヌー
肌ざわり,性質
入植地,団体
裁截る,終らす
消失点,場所
守護聖人,保護者
守護聖人,セイント
申出,内容
申出,内容
情感,心緒
情感,心緒
モーニング,上衣
モーニング,ピリオド
モーニング,衣装
たま物,余波
オーバヘッド,処理時間
変災,苦しみ
変災,災難
分野,課題
分野,知識ベース
分野,領域
分野,概念
分野,実業
分野,環境
写しだす,詳しく述べる
写しだす,表す
待ちもうける,待ちのぞむ
拝借,得る
拝借,得る
手早さ,ペース
琥珀,イエロー
可決,立法
可決,成功
可決,制定
可決,立法
可決,成功
可決,制定
鉾,軍器
渡り舟,艇
扱き下ろす,コメント
扱き下ろす,銘打つ
狡さ,海千山千
屋上,上
擲る,たたく
擲る,生みだす
擲る,接する
プレゼン,陳列
プレゼン,申出
断滅,掻消える
熱核反応,核融合
鬱,心理状態
鬱,不幸せ
不可侵,外交政策
不可侵,外交政策
郵便船,艇
耕作地,土
摩戛,触れ合う
手際がいいこと,八挺
就労,動静
就労,動静
びくびくする,揺する
温かさ,愛情深い
温かさ,熱
温かさ,温度感覚
温かさ,徳行
温かさ,心緒
感冒,伝染
感冒,呼吸器疾患
感冒,呼吸器疾患
感冒,伝染病
切疵,小疵
シーディー,光ディスク
シーディー,記録媒体
背面,表
背面,面
自然調整,アドバンス
解体,切り傷
解体,アクティビティー
解体,締め括り
解体,終らす
解体,害う
解体,害う
解体,切り傷
解体,アクティビティー
解体,締め括り
解体,終らす
解体,害う
解体,害う
書翰,文章
書翰,記文
涌き水,お水
見切る,放置
見切る,一擲
見切る,取去る
見切る,逃げ走る
録音媒体,記録媒体
万物,自然物
金槌,手工具
テンパー,撓い
プロパガンダ活動員,コミュニケーター
雹,アイス
雹,沈殿
輝かしい才能,才智
ベンディングマシーン,スロットマシン
雷公,雷火
血栓静脈炎,静脈炎
西洋ナシ,果物
西洋ナシ,梨果
弁士,スピーカー
弁士,スピーカー
帝国,君主制
帝国,企業
帝国,邦土
帝国,体制
言語行動,聴覚コミュニケーション
ハジカミ,塩加減
付着,触れ合う
付着,交わる
付着,結び合せる
付着,触れ合う
掩護射撃,差し響き
掩護射撃,撃方
為す,動く
為す,被る
為す,生みだす
為す,終わる
為す,もうける
為す,入換える
為す,動く
為す,動く
透破抜,明察
透破抜,あざ笑う
透破抜,明察
透破抜,あざ笑う
ひょうろく玉,二本棒
ひょうろく玉,二本棒
撓だれる,低まる
撓だれる,触れ合う
難しいこと,窮状
朗読,口演
朗読,為す
朗読,口演
朗読,為す
デコレーション,アーチファクト
結び合せる,形づくる
結び合せる,交ぜ合わせる
結び合せる,考える
面映ゆさ,慙愧
トレンチコート,レインコート
ソルトライジングパン,パン
哀悼痛惜,不幸せ
とり繕う,革める
熟達,スキル
熟達,八挺
熟達,八挺
熟達,統べる
熟達,スキル
熟達,八挺
熟達,八挺
熟達,統べる
ハンデキャップ,アドヴァンテージ
課す,無理強
課す,チャージ
課す,コミュニケート
安定化,画一主義
ナキハクチョウ,鵠
せりふ,本
投手,野球選手
人寄,演芸
棒手振り,店番
決込む,推測
決込む,期する
決込む,期する
高分子電解質,電解質
割り付ける,按排
割り付ける,託する
割り付ける,配る
受け売り,売買
小乗仏教,上座部仏教
複合命令セットコンピュータ,アーキテクチャ
放射線感受性,センシビリティ
放射線感受性,センシビリティ
浅短,深遠
浅短,深遠
精神療法,精神病理学
坊ち,男性
自然作用,過程
事務次官,長官
色つけ,コーティング
色つけ,入換える
極悪,不人情
極悪,不人情
パバーヌ,ダンス
針目,仕立て
手抜り,略
液体洗剤,中性洗剤
なおざり,うわの空
召し替え,衣装
黄道帯,地域
まっ黒,黒
まっ黒,黒
沈澱物,物質
分針,針
紐解く,解釈
色,風姿
長所,値打
長所,性状
長所,プラス
連峰,構造
識別するための情報,識別
彫物,図形
彫物,図形
配慮,ワーク
配慮,傾注
配慮,聡叡
配慮,温かさ
配慮,窮境
配慮,動く
配慮,ワーク
配慮,傾注
配慮,聡叡
配慮,温かさ
配慮,窮境
配慮,動く
内殿,場所
検閲,削除
検閲,吟味
検閲,鑑定
検閲,確める
検閲,鑑定
検閲,削除
検閲,吟味
検閲,鑑定
検閲,確める
検閲,鑑定
噎び泣き,泪
指顧,取りあつかう
指顧,要望
移り,結付き
移り,変易
移り,移行
力ぞえ,アクティビティー
力ぞえ,お手伝い
力ぞえ,労働
力ぞえ,援護
力ぞえ,アクティビティー
力ぞえ,お手伝い
力ぞえ,労働
力ぞえ,援護
お拾,移動
お拾,歩行運動
ブラッドハウンド,猟り犬
さし押さえる,取る
矛盾,反対
矛盾,打消
矛盾,犯す
矛盾,逸れる
矛盾,反対
矛盾,打消
矛盾,犯す
矛盾,逸れる
紛幸,出来事
協同,協調
協同,労働
協同,属する
協同,協調
協同,労働
協同,属する
強意,修辞法
強意,限定詞
斤量,物性
ホームストレッチ,直線コース
甘んじる,怺える
交配,性行為
交配,性行為
出来高,集団行動
出来高,不定量
出来高,産品
出来高,多数
入込む,収得
富祐,富
富祐,富
メタンフェタミン,シャブ
致死量,薬の１回分
御返し,返し
御返し,処罰
御返し,返し
御返し,処罰
絵描,クレアトゥール
パーチ,尺度
胸像,彫物
奴隷解放,解放
抹する,分解
抹する,害う
栄養不良,餓え
フルオレセイン,染料
ラジオビーコン,信号
社会統制,集団行動
フロラ,集団
引く,印す
引く,過ぎ去る
引く,いらっしゃる
引く,張る
引く,引去る
引く,移転
引く,引き付ける
引く,調査
引く,漕ぐ
返上,取得
返上,賦する
返上,取得
返上,賦する
外交,話し合い
繋合せる,考える
掘ったて小屋,保護施設
原子,物質
配属,託する
検視,吟味
検視,吟味
検視,鑑定
検視,吟味
検視,吟味
検視,鑑定
結付き,協同
結付き,抽象的実体
サルーン,四輪車
アウトレット,販路
閉回路テレビシステム,テレビシステム
ジスプロシウム,メタール
忠告,奨め
忠告,警報
忠告,議する
忠告,警醒
忠告,奨め
忠告,警報
忠告,議する
忠告,警醒
聰明,長所
聰明,ノーハウ
窪み,空
勢力圏,地理的地域
徳行,性状
徳行,モラリティー
マント,表徴
マント,上衣
摘取る,とり纏める
摘取る,引去る
暖める,入換える
暖める,入換える
確率変数,変数
おでこ,フィーチュア
模倣者,個人
アワーグラス,沙漏
息抜,休止
リング・ア・ロージー,遊び
水蒸気,スチーム
水蒸気,スチーム
セールストーク,アド
一国さ,意志強さ
申合,口述
コンファレンス,会合
コンファレンス,話し合い
コンファレンス,協会
ハンディクラフト,ワーク
サウンドエフェクト,エフェクト
養育てる,元気付ける
差しもどす,挑戦
セイヨウトチノキ,種子
イソロイシン,必須アミノ酸
電話通信,テレコミ
決選投票,選挙
祖,素姓
祖,肉縁
祖,祖父母
銀灰色,グレー
投票所,場所
投票所,場所
おつけ,一品
芽出度さ,素朴
会釈,身ぶり
会釈,ご了承
会釈,身振りで表す
会釈,身ぶり
会釈,ご了承
会釈,身振りで表す
ドルマン,マント
低音部,調子
低音部,パート
パスポート,公文書
パスポート,特有性
ナガイモ,ヤムイモ
汚水,廃物
リッジ,構造
気鬱,不幸せ
気鬱,不幸せ
インディヴィデュアリズム,意見
パピヨン,トイスパニエル
祝,機会
TEL,電子機器
衰微,容態
衰微,自然作用
衰微,減じる
衰微,容態
衰微,自然作用
衰微,減じる
女子,女
女子,女
女子,成人
ジュニアライト級,ボクサー
秣,まぐさ
釣舟,船舶
酷評,批難
酷評,コメント
糞化石,排泄
糞化石,有機肥料
プロ選手,スポーツせんしゅ
間充織,中胚葉
交通信号,電気
火明,可視放射
羨望,辛辣
羨望,欲しがる
羨望,称揚
羨望,辛辣
羨望,欲しがる
羨望,称揚
カーゴ,プロダクト
カーゴ,分銅
頚静脈,気脈
西方教会,カトリック教会
入換える,入れ換える
保存,保持
保存,守
保存,容態
保存,原理
保存,続ける
保存,取っておく
保存,有する
保存,続ける
保存,吹きこむ
保存,調理
保存,保持
保存,守
保存,容態
保存,原理
保存,続ける
保存,取っておく
保存,有する
保存,続ける
保存,吹きこむ
保存,調理
食い荒す,上がる
掛替え,同等のもの
空中電気,放電
スパーリング,ボクシング
地誌学,地理学
傍近,地区
捩子山,リブ
トレース,印
トレース,図面
酸化チタン,ピグメント
酸化チタン,酸化物
科条,公文書
科条,集団
科条,事実
科条,一部分
複合タンパク質,タンパク質
プロポーザル,内容
プロポーザル,考え
御積,目当て
ハンドブレーキ,歯止め
提出,申出
提出,発揮
提出,構成
提出,賦する
提出,提言
提出,申出
提出,発揮
提出,構成
提出,賦する
提出,提言
利用者,個人
百科,参考書
裏手,表
裏手,面
巧妙さ,高上
客亭,家屋
洗煉,革める
心緒,動静
精神的健康,心理状態
粒々辛苦,就労
昼食会,食事
昼食会,寄りあい
人種主義,先入主
終わる,終らす
終わる,動く
終わる,中止になる
終わる,終らす
終わる,終らす
砂糖壺,盤
嘗める,撫でまわす
大型はしけ,艇
神経経路,白質
当惑させる,迷わす
伝,話説
フィニッシュ,分野
フィニッシュ,終わり
フィニッシュ,セクション
フィニッシュ,動静
フィニッシュ,出来事
フィニッシュ,装飾性
フィニッシュ,終らす
フィニッシュ,分野
フィニッシュ,終わり
フィニッシュ,セクション
フィニッシュ,動静
フィニッシュ,出来事
フィニッシュ,装飾性
フィニッシュ,終らす
怖じけ,情感
ねじ回し,手工具
取急ぐ,動く
又従兄,肉縁
肩を並べる,競い合う
曲がり,一部分
曲がり,ライン
判明,行なわれる
判明,ではある
震い戦く,びくびくする
震い戦く,揺する
ジャーナリスト,作家
選り抜き,行ない
選り抜き,エリート
解る,思いだす
解る,存知
解る,活きる
勝つこと,上首尾
食い尽くす,上がる
オポテュニズム,気侭
再定住,落着く
灰褐色,うす茶色
ギリシア火薬,混成物
ギリシア火薬,軍器
麦芽糖,二糖
重大局面,非常事態
皺,型
物寂しさ,不幸せ
飾りつけ,アーチファクト
組み合せる,交ぜ合わせる
組み合せる,プラス
組み合せる,継ぎ合わせる
質札,受け取
裁き,公文書
手指の爪,爪甲
肩掛,マント
邪径,方向転換
縁,結付き
縁,分界
縁,バウンダリ
縁,抽象的実体
縁,ポーチ
縁,結付き
縁,結付き
縁,ライン
縁,凸
縁,角
酸性化,自然作用
酸性化,自然作用
石ころ,マティエール
石ころ,自然物
ウイング,翼型
ウイング,器官
ウイング,高座
ウイング,艦隊
美容師,細工師
谷間,透き間
谷間,くぼ地
肩峰,突起
切れ地,アーチファクト
活動力,勢い
活動力,気迫
主意,辞意
主意,認知的内容
真情,信実
生け花,アレンジメント
生け花,デコレーション
差し上げ物,おくり物
フェーズ,時点
フェーズ,ピリオド
責,社会統制
責,動静
談じ込む,要求
等比級数,級数
融通性,適応性
オーガンジー,メリンス
唐きび,グレイン
唐きび,種
唐きび,穀類
萌えたつ,生まれ育つ
理学,科学
ランジェリー,下着類
コケット,女子
チップ,役得
チップ,フロート
チップ,半導体素子
チップ,カウンター
チップ,贈る
チップ,役得
チップ,フロート
チップ,半導体素子
チップ,カウンター
チップ,贈る
船積,置く
船積,充す
九鼎,集団
雨うけ,仲介物
網膜炎,炎症
師旅,弓馬
分れる,動かす
分れる,遷移
かき退ける,押す
シンセサイザー,電子楽器
嫌み,ヒューモー
強める,揺すぶる
強める,革める
強める,増やす
強める,増加
強める,力説
強める,入換える
循環過程,繰かえし
完熟,開ける
若気,同性愛者
軽子,旅客
書きとめる,取っておく
書きとめる,書きおろす
退る,動く
談判,議する
談判,取引き
企業連合,企業組合
心寂しさ,不幸せ
殉教,永眠
菌褶,植物器官
ご注文,商業証券
ご注文,申出
浸潤,拡散
共鳴り,揺り
共鳴り,心緒
共鳴り,物理現象
家畜の駆り集め,牧畜
舞台左手,左手
押立てる,強いる
押立てる,無理強
首飾り,デコレーション
首飾り,頸飾り
首飾り,アンティーク・ジュエリー
通行券,許し
通行券,許し
コンミューヌ,行政区画
コンミューヌ,集団
孫娘,お孫さん
為し遂げる,生みだす
為し遂げる,為す
為し遂げる,終わる
為し遂げる,もうける
為し遂げる,終わる
為し遂げる,終わる
熱,興味
熱,症候
熱,エナージー
熱,温度
熱,情熱
熱,生彩
包み泣き,めそめそする
ストーリー,内容
ストーリー,古
屋根裏,フローア
セラック,ラック
コバルトブルー,ブルー
照れくささ,慙愧
メー,一声
言葉のあや,修辞法
オレンジ色,有彩色
円蓋,屋根
シンジケート,組織犯罪
乗越える,遣っつける
乗越える,打負かす
セーラー服,アンサンブル
謀略,作戦
謀略,プラン
謀略,作戦
謀略,不誠意
謀略,秘計
王水,酸
創造,アクティビティー
創造,生みだす
創造,アクティビティー
創造,生みだす
ヴェール,お召し物
叫泣き,爆発
叫泣き,発話
帆,布切れ
ファイア,要素
ファイア,燃焼
踏み行う,終わる
踏み行う,もうける
規制,概念
規制,結付き
規制,規律正しさ
規制,決り
規制,思い定める
規制,概念
規制,結付き
規制,規律正しさ
規制,決り
規制,思い定める
自由民,諸人
自由民,人民
雲翳,悪天
戦術,行動計画
誉め讃える,身振りで表す
誉め讃える,称揚
弔い,不幸せ
弔い,哀惜
弔い,御祝い
サリチル酸フェニル,サリチル酸塩
マルチプロセッサコンピュータ,デジタル計算機
作りかえる,築造
編,刊行物
フィジカルフィットネス,具合い
サイレンス,容態
消えさる,終わる
消えさる,掻消える
畢生,ピリオド
短縮,単語
短縮,短さ
短縮,減じる
短縮,減じる
短縮,単語
短縮,短さ
短縮,減じる
短縮,減じる
インベントリー,データベース
インベントリー,プロダクト
復刻,写しとる
一代,ピリオド
避難,安全
避難,給する
避難,安全
避難,給する
先蹤,例
読む,解釈
読む,見付ける
読む,解釈
読む,発語
読む,解釈
伝道師,牧師
伝道師,教師
引き付ける,掻き立てる
引き付ける,唆る
引き付ける,引く
引き付ける,乞う
トラッド,ジャズ
トラッド,ジャズ
ベース,擦弦楽器
ベース,常識
ベース,調子
ベース,パート
ベース,場所
ベース,突っぱり
ベース,一部分
ベース,材料
泥,物質
泥,土
罰すること,社会統制
非同期オペレーション,演算
ブドウ棚,四阿
忍び女,女子
処罰,社会統制
処罰,社会統制
甲斐無さ,性状
バラ亜綱,クラス
エピック,ポエム
インターオペラビリティ,力量
取りあつかう,交流
取りあつかう,接する
取りあつかう,統べる
オフホワイト,白妙
ネットワーク,システム
臭う,見取る
追悼式,御祝い
統治期間,持続時間
行政機関,役所
風姿,性状
身拵,遷移
投書,文章
投書,記文
不敬,心用意
不敬,心用意
不敬,心用意
誘いだす,唆る
誘いだす,揺すぶる
待ち受ける,待ちのぞむ
情熱,熱意
情熱,主情
情熱,心緒
情熱,心緒
情熱,生彩
押し拉ぐ,押す
押し拉ぐ,押す
推進機,機械装置
年級,集団
自己辯護,補助
雌黄,イエロー
形づくる,入換える
形づくる,生みだす
形づくる,洗煉
形づくる,誘発
形づくる,創造
胆煎り,後押し
突っつく,唆る
突っつく,押す
オーバーアクション,演技
やり遂げる,為す
やり遂げる,終わる
やり遂げる,終わる
やり遂げる,もうける
ネガ,フィルム
抗真菌薬,薬剤
成功者,個人
丸石,敷石
持主,個人
持主,営業マン
コントラルト,ボーカリスト
借り入れ,負債
受売り,売買
蹄鉄,ゲーム用品
前衛,体
失敬,重罪
失敬,立居振る舞い
失敬,不道徳
失敬,不敬
失敬,奪い取る
失敬,重罪
失敬,立居振る舞い
失敬,不道徳
失敬,不敬
失敬,奪い取る
失敬,重罪
失敬,立居振る舞い
失敬,不道徳
失敬,不敬
失敬,奪い取る
長年,ピリオド
脹らせる,持ちゃげる
脹らせる,増やす
脹らせる,廓大
経歴,アドバンス
倍増し,蕃殖
行渡る,動かす
行渡る,突通る
行渡る,動く
点々,模様
副腎皮質徴候発現,滑出し
午の時,時剋
連中,社会集団
連中,集団
言包める,勧誘
立ち会い証人,個人
櫃,ボックス
渙発,言いきる
重力,引力
メラニン細胞刺激ホルモン,ホルモン
信任状,記文
暗晦,イリュミネイション
暗晦,イリュミネイション
吸入れる,摂する
吸入れる,息吹く
神経症患者,病人
第三世界,集団
菊花,お花
外科,医科
巣窟,ギャング
巣窟,隠し場
生み,行ない
生み,アクティビティー
貪汚,大罪
差別,社会統制
差別,基本的認知プロセス
差別,区別
差別,社会統制
差別,基本的認知プロセス
差別,区別
フォーカス,明瞭さ
フォーカス,場所
フォーカス,専念
フォーカス,明瞭
価値論,哲学
安酒場,赤ちょうちん
サイエンスフィクション,ファンタジー
ペンライト,懐中電灯
佳肴,滋養分
アセビ,低木
捻くる,化ける
膨張,増
膨張,化学作用
膨張,弘まる
膨張,減じる
膨張,増加
膨張,増
膨張,化学作用
膨張,弘まる
膨張,減じる
膨張,増加
受容れる,怺える
受容れる,定住させる
受容れる,得る
受容れる,学修
受容れる,反応
受容れる,鑑定
受容れる,反応
レディー,女子
レディー,女
レディー,成人
レディー,女子
ザボン,柑橘類
請けあい,誓約
配管工,細工師
戦争未亡人,未亡人
微笑む,苦る
アデニル酸,ヌクレオチド
警察捜査,調査
間近,動静
間近,距離
間近,動静
間近,距離
歌劇,古典派音楽
大腐り,失意
大腐り,不幸せ
大腐り,失意
大腐り,不幸せ
威し,蚕食
威し,声明
引っ付く,触れ合う
引っ付く,付着
オペランド,高
正弦曲線,波
要脚,費用
要脚,貨幣制度
要脚,値打
切身,盛り
逐う,捜し求める
逐う,抗する
逐う,動く
逐う,無理強
逐う,動く
逐う,鑑定
醵金,おくり物
醵金,金高
ユーザーインターフェース,プログラム
防ぐ,防護
防ぐ,防護
防ぐ,押しとどめる
引き請ける,支持
引き請ける,取る
節穴,穴ぼこ
スコップ,手工具
四捨五入,入換える
スイセン,球根類
卵黄,滋養分
卵黄,材料
繊細さ,弁別
繊細さ,風情
空虚,容態
空虚,甲斐無さ
空虚,明き
空虚,容態
空虚,甲斐無さ
空虚,明き
継ぎ合わせる,結び合せる
-方,一族
入植,移入
入植,移入
結婚,聖祭
結婚,協同
結婚,聖祭
結婚,協同
巻尺,測定装置
呼出す,とり纏める
呼出す,指顧
泣き叫ぶこと,発話
生年月日,滑出し
オルトリン酸3ナトリウム,中性洗剤
掛かる,ではある
掛かる,調理
掛かる,発病
掛かる,動く
掛かる,付着
掛かる,訪問
掛かる,先がけ
掛かる,経始
雪霰,アイス
適正,性状
適正,性状
適正,性状
文房,室
監事,調査員
原拠,見聞
操縦性,移動性
焦がす,ぴりぴり
キレーション,過程
望遠レンズ,カメラレンズ
体重計,測定装置
減衰,容態
減衰,自然作用
減衰,衰
減衰,核反応
減衰,減じる
減衰,容態
減衰,自然作用
減衰,衰
減衰,核反応
減衰,減じる
無法,狼藉
増,過程
増,物量
増,不定量
クロルテトラサイクリン,抗生物質
チェックイン,来る
チェックイン,来る
死者,個人
死者,諸人
化粧水,香水
救出,取り戻すこと
救出,切り抜けさせる
救出,取り戻すこと
救出,切り抜けさせる
略筆,要覧
略筆,プラン
略筆,減じる
略筆,要覧
略筆,プラン
略筆,減じる
パフペースト,ペストリー
絞首刑に処する,処刑
カッター,帆船
カッター,キチン
カッター,熟練工
先祖伝承,物語り
策励,代言
策励,掛かる
策励,障る
策励,誘いだす
策励,代言
策励,掛かる
策励,障る
